,route,UTM lat,UTM lon
201,r1,2272232.2435879814,310560.8582284462
202,r1,2272232.8059260957,310563.35718536266
203,r1,2272233.5095344703,310566.4939259798
204,r1,2272233.947602235,310571.9013847588
205,r1,2272235.4245063514,310576.78849031014
206,r1,2272236.1854197127,310583.03391648096
207,r1,2272237.8201504913,310588.6632847878
208,r1,2272240.3409661837,310594.3650907825
209,r1,2272241.8918934125,310600.85918799124
210,r1,2272244.688884179,310604.92660265137
211,r1,2272246.2508804677,310608.8342576892
212,r1,2272247.4555886025,310611.7158269951
213,r1,2272249.186064767,310613.7167230481
214,r1,2272250.120499285,310616.0112217354
215,r1,2272251.6544879926,310619.0528989717
216,r1,2272252.8886535214,310622.5710048829
217,r1,2272254.9425784396,310627.0473323766
218,r1,2272256.8730321103,310632.6695496021
219,r1,2272258.7112509673,310638.32202821196
220,r1,2272261.8403388397,310643.9888672484
221,r1,2272263.111673901,310650.83444838825
222,r1,2272264.7718853806,310657.55919838004
223,r1,2272266.836714362,310664.34059634217
224,r1,2272268.2851415174,310670.19732453965
225,r1,2272269.1675852374,310675.4741238485
226,r1,2272270.198549544,310680.63784818654
227,r1,2272270.868742243,310685.0883414104
228,r1,2272270.8056108197,310689.07177200203
229,r1,2272271.1534221205,310692.6425867339
230,r1,2272271.718741763,310694.9746902642
231,r1,2272273.2920916076,310699.4560868471
232,r1,2272275.165390326,310703.64878803294
233,r1,2272276.6843157,310708.04614010267
234,r1,2272278.3115787823,310712.7575860219
235,r1,2272280.0096235066,310719.36801614997
236,r1,2272281.9113119124,310725.88684251514
237,r1,2272281.85370706,310732.7593463083
238,r1,2272283.1757925437,310740.02265991026
239,r1,2272285.1693770387,310746.54250385746
240,r1,2272286.303917204,310754.04361104616
241,r1,2272286.636703815,310760.65971143346
242,r1,2272287.3063737988,310766.8519412376
243,r1,2272288.298485887,310773.8195494979
244,r1,2272289.1655406384,310780.4833064471
245,r1,2272290.888962585,310788.19954792573
246,r1,2272292.3267410235,310796.6113983794
247,r1,2272293.6155417054,310805.1780355907
248,r1,2272294.699198958,310813.97184290434
249,r1,2272295.9138331814,310822.5376523502
250,r1,2272297.4785646005,310829.49075695797
251,r1,2272299.4031709633,310835.64477757877
252,r1,2272302.2839170494,310842.1431718466
253,r1,2272304.4538465175,310849.4367457635
254,r1,2272304.727097345,310854.73803774116
255,r1,2272305.110826957,310860.061416429
256,r1,2272305.056144067,310863.3878623652
257,r1,2272305.48586652,310866.1669207396
258,r1,2272303.8473271527,310869.1420172655
